"area_code","area_name","date","new_cases","total_cases"
"E09000001","City of London",2020-03-21,0,5
"E09000002","Barking and Dagenham",2020-03-21,10,52
"E09000003","Barnet",2020-03-21,18,150
"E09000004","Bexley",2020-03-21,4,55
"E09000005","Brent",2020-03-21,18,163
"E09000006","Bromley",2020-03-21,16,101
"E09000007","Camden",2020-03-21,15,76
"E09000008","Croydon",2020-03-21,25,148
"E09000009","Ealing",2020-03-21,11,125
"E09000010","Enfield",2020-03-21,8,94
"E09000011","Greenwich",2020-03-21,18,96
"E09000012","Hackney",2020-03-21,5,70
"E09000013","Hammersmith and Fulham",2020-03-21,12,72
"E09000014","Haringey",2020-03-21,11,83
"E09000015","Harrow",2020-03-21,18,131
"E09000016","Havering",2020-03-21,6,47
"E09000017","Hillingdon",2020-03-21,9,86
"E09000018","Hounslow",2020-03-21,14,88
"E09000019","Islington",2020-03-21,8,73
"E09000020","Kensington and Chelsea",2020-03-21,5,92
"E09000021","Kingston upon Thames",2020-03-21,1,36
"E09000022","Lambeth",2020-03-21,18,191
"E09000023","Lewisham",2020-03-21,8,103
"E09000024","Merton",2020-03-21,7,90
"E09000025","Newham",2020-03-21,6,73
"E09000026","Redbridge",2020-03-21,10,66
"E09000027","Richmond upon Thames",2020-03-21,2,38
"E09000028","Southwark",2020-03-21,13,181
"E09000029","Sutton",2020-03-21,5,44
"E09000030","Tower Hamlets",2020-03-21,8,73
"E09000031","Waltham Forest",2020-03-21,12,67
"E09000032","Wandsworth",2020-03-21,16,169
"E09000033","Westminster",2020-03-21,13,145
"E09000001","City of London",2020-03-22,0,5
"E09000002","Barking and Dagenham",2020-03-22,7,59
"E09000003","Barnet",2020-03-22,26,176
"E09000004","Bexley",2020-03-22,10,65
"E09000005","Brent",2020-03-22,26,189
"E09000006","Bromley",2020-03-22,24,125
"E09000007","Camden",2020-03-22,11,87
"E09000008","Croydon",2020-03-22,24,172
"E09000009","Ealing",2020-03-22,18,143
"E09000010","Enfield",2020-03-22,18,112
"E09000011","Greenwich",2020-03-22,6,102
"E09000012","Hackney",2020-03-22,14,84
"E09000013","Hammersmith and Fulham",2020-03-22,13,85
"E09000014","Haringey",2020-03-22,11,94
"E09000015","Harrow",2020-03-22,15,146
"E09000016","Havering",2020-03-22,13,60
"E09000017","Hillingdon",2020-03-22,10,96
"E09000018","Hounslow",2020-03-22,8,96
"E09000019","Islington",2020-03-22,8,81
"E09000020","Kensington and Chelsea",2020-03-22,6,98
"E09000021","Kingston upon Thames",2020-03-22,1,37
"E09000022","Lambeth",2020-03-22,33,224
"E09000023","Lewisham",2020-03-22,19,122
"E09000024","Merton",2020-03-22,8,98
"E09000025","Newham",2020-03-22,13,86
"E09000026","Redbridge",2020-03-22,12,78
"E09000027","Richmond upon Thames",2020-03-22,9,47
"E09000028","Southwark",2020-03-22,28,209
"E09000029","Sutton",2020-03-22,9,53
"E09000030","Tower Hamlets",2020-03-22,4,77
"E09000031","Waltham Forest",2020-03-22,3,70
"E09000032","Wandsworth",2020-03-22,16,185
"E09000033","Westminster",2020-03-22,12,157
"E09000001","City of London",2020-03-23,0,5
"E09000002","Barking and Dagenham",2020-03-23,11,70
"E09000003","Barnet",2020-03-23,31,207
"E09000004","Bexley",2020-03-23,17,82
"E09000005","Brent",2020-03-23,46,235
"E09000006","Bromley",2020-03-23,35,160
"E09000007","Camden",2020-03-23,15,102
"E09000008","Croydon",2020-03-23,36,208
"E09000009","Ealing",2020-03-23,29,172
"E09000010","Enfield",2020-03-23,21,133
"E09000011","Greenwich",2020-03-23,13,115
"E09000012","Hackney",2020-03-23,20,104
"E09000013","Hammersmith and Fulham",2020-03-23,13,98
"E09000014","Haringey",2020-03-23,15,109
"E09000015","Harrow",2020-03-23,19,165
"E09000016","Havering",2020-03-23,10,70
"E09000017","Hillingdon",2020-03-23,17,113
"E09000018","Hounslow",2020-03-23,17,113
"E09000019","Islington",2020-03-23,23,104
"E09000020","Kensington and Chelsea",2020-03-23,9,107
"E09000021","Kingston upon Thames",2020-03-23,11,48
"E09000022","Lambeth",2020-03-23,29,253
"E09000023","Lewisham",2020-03-23,27,149
"E09000024","Merton",2020-03-23,15,113
"E09000025","Newham",2020-03-23,26,112
"E09000026","Redbridge",2020-03-23,17,95
"E09000027","Richmond upon Thames",2020-03-23,16,63
"E09000028","Southwark",2020-03-23,43,252
"E09000029","Sutton",2020-03-23,25,78
"E09000030","Tower Hamlets",2020-03-23,11,88
"E09000031","Waltham Forest",2020-03-23,21,91
"E09000032","Wandsworth",2020-03-23,27,212
"E09000033","Westminster",2020-03-23,22,179
"E09000001","City of London",2020-03-24,0,5
"E09000002","Barking and Dagenham",2020-03-24,12,82
"E09000003","Barnet",2020-03-24,39,246
"E09000004","Bexley",2020-03-24,13,95
"E09000005","Brent",2020-03-24,28,263
"E09000006","Bromley",2020-03-24,30,190
"E09000007","Camden",2020-03-24,20,122
"E09000008","Croydon",2020-03-24,27,235
"E09000009","Ealing",2020-03-24,34,206
"E09000010","Enfield",2020-03-24,24,157
"E09000011","Greenwich",2020-03-24,17,132
"E09000012","Hackney",2020-03-24,20,124
"E09000013","Hammersmith and Fulham",2020-03-24,14,112
"E09000014","Haringey",2020-03-24,19,128
"E09000015","Harrow",2020-03-24,26,191
"E09000016","Havering",2020-03-24,16,86
"E09000017","Hillingdon",2020-03-24,18,131
"E09000018","Hounslow",2020-03-24,15,128
"E09000019","Islington",2020-03-24,20,124
"E09000020","Kensington and Chelsea",2020-03-24,7,114
"E09000021","Kingston upon Thames",2020-03-24,16,64
"E09000022","Lambeth",2020-03-24,26,279
"E09000023","Lewisham",2020-03-24,15,164
"E09000024","Merton",2020-03-24,23,136
"E09000025","Newham",2020-03-24,12,124
"E09000026","Redbridge",2020-03-24,11,106
"E09000027","Richmond upon Thames",2020-03-24,14,77
"E09000028","Southwark",2020-03-24,31,283
"E09000029","Sutton",2020-03-24,17,95
"E09000030","Tower Hamlets",2020-03-24,17,105
"E09000031","Waltham Forest",2020-03-24,11,102
"E09000032","Wandsworth",2020-03-24,28,240
"E09000033","Westminster",2020-03-24,16,195
"E09000001","City of London",2020-03-25,0,5
"E09000002","Barking and Dagenham",2020-03-25,11,93
"E09000003","Barnet",2020-03-25,45,291
"E09000004","Bexley",2020-03-25,19,114
